frame,id,x_m,y_m;Frame;ID;x_m;y_m
43,7,3.67,2.12;45;9;0.33;1.70
43,9,3.40,4.40;45;10;4.69;2.66
43,11,2.99,1.80;45;15;4.18;2.78
43,27,0.88,2.17;45;12;2.58;2.74
43,15,3.39,0.74;46;1;3.82;2.55
43,32,3.25,3.77;46;2;5.27;3.02
43,6,0.68,0.83;46;3;4.19;4.23
43,39,4.77,0.52;46;4;5.24;2.18
43,41,3.24,3.93;46;7;3.20;2.86
43,42,3.60,2.21;46;8;3.26;2.43
43,43,0.14,2.45;46;9;0.33;1.70
44,1,3.58,2.95;46;10;4.69;2.67
44,2,4.29,4.79;46;15;4.18;2.78
44,3,1.06,3.65;46;12;2.59;2.74
44,4,3.60,3.60;47;1;3.82;2.55
44,5,3.82,1.45;47;2;5.27;3.02
44,7,3.66,2.12;47;3;4.19;4.23
44,9,3.40,4.40;47;4;5.24;2.18
44,11,2.99,1.80;47;7;3.20;2.86
44,27,0.89,2.17;47;8;3.26;2.43
44,15,3.39,0.74;47;9;0.33;1.70
44,32,3.25,3.77;47;10;4.69;2.67
44,6,0.68,0.83;47;15;4.18;2.78
44,39,4.77,0.52;47;12;2.58;2.74
44,41,3.24,3.93;48;1;3.82;2.55
44,42,3.60,2.21;48;2;5.27;3.02
44,43,0.14,2.44;48;3;4.19;4.23
45,1,3.59,2.95;48;4;5.24;2.18
45,2,4.29,4.79;48;7;3.21;2.86
45,3,1.06,3.65;48;8;3.26;2.43
45,4,3.60,3.60;48;9;0.32;1.70
45,5,3.82,1.45;48;10;4.69;2.66
45,7,3.66,2.12;48;15;4.18;2.78
45,9,3.40,4.40;48;12;2.58;2.75
45,11,2.99,1.80;49;1;3.82;2.55
45,27,1.00,2.15;49;2;5.27;3.02
45,15,3.39,0.74;49;3;4.19;4.23
45,32,3.25,3.77;49;4;5.24;2.18
45,6,0.68,0.83;49;7;3.21;2.86
45,39,4.77,0.53;49;8;3.26;2.43
45,41,3.24,3.93;49;9;0.33;1.70
45,42,3.61,2.21;49;10;4.69;2.66
45,43,0.13,2.42;49;15;4.18;2.78
46,1,3.59,2.95;49;12;2.58;2.75
46,2,4.29,4.79;50;1;3.82;2.55
46,3,1.06,3.65;50;2;5.27;3.02
46,4,3.60,3.60;50;3;4.19;4.23
46,5,3.82,1.45;50;4;5.24;2.18
46,7,3.67,2.12;50;7;3.21;2.86
46,11,2.99,1.80;50;8;3.26;2.43
46,27,1.11,2.14;50;9;0.33;1.70
46,15,3.39,0.74;50;10;4.69;2.66
46,6,0.68,0.83;50;15;4.18;2.78
46,39,4.77,0.53;50;12;2.58;2.75
46,41,3.24,3.93;51;1;3.82;2.55
46,42,3.61,2.21;51;2;5.27;3.02
46,43,0.19,2.39;51;3;4.19;4.23
47,1,3.59,2.94;51;4;5.24;2.18
47,2,4.29,4.79;51;7;3.21;2.86
47,3,1.06,3.65;51;8;3.26;2.43
47,4,3.61,3.60;51;9;0.33;1.70
47,5,3.82,1.45;51;10;4.69;2.66
47,11,3.00,1.80;51;15;4.18;2.78
47,27,1.20,2.13;51;12;2.58;2.75
47,15,3.38,0.74;52;1;3.82;2.55
47,6,0.67,0.83;52;2;5.27;3.02
47,39,4.77,0.53;52;3;4.19;4.23
47,41,3.25,3.93;52;4;5.24;2.18
47,42,3.60,2.21;52;7;3.21;2.86
47,43,0.18,2.37;52;8;3.26;2.43
48,1,3.60,2.94;52;9;0.33;1.70
48,2,4.29,4.79;52;10;4.69;2.66
48,3,1.06,3.65;52;15;4.18;2.78
48,4,3.61,3.59;52;12;2.57;2.75
48,5,3.82,1.45;53;1;3.82;2.55
48,11,2.99,1.79;53;2;5.27;3.02
48,27,1.28,2.12;53;3;4.19;4.23
48,15,3.38,0.74;53;4;5.24;2.18
48,6,0.68,0.83;53;7;3.21;2.86
48,39,4.77,0.53;53;8;3.26;2.43
48,41,3.25,3.92;53;9;0.33;1.69
48,42,3.60,2.21;53;10;4.69;2.66
48,43,0.34,2.36;53;15;4.18;2.78
49,1,3.60,2.94;53;12;2.57;2.75
49,2,4.29,4.79;54;1;3.82;2.55
49,3,1.07,3.65;54;2;5.27;3.02
49,4,3.61,3.59;54;3;4.19;4.23
49,5,3.82,1.45;54;4;5.24;2.18
49,11,2.99,1.79;54;7;3.21;2.86
49,27,1.35,2.11;54;8;3.26;2.43
49,15,3.38,0.74;54;9;0.33;1.69
49,6,0.68,0.83;54;10;4.69;2.66
49,39,4.78,0.53;54;15;4.18;2.78
49,41,3.25,3.93;54;12;2.57;2.74
49,42,3.60,2.21;55;1;3.82;2.55
49,43,0.43,2.35;55;2;5.26;3.02
50,1,3.60,2.94;55;3;4.19;4.23
50,2,4.29,4.80;55;4;5.25;2.18
50,3,1.08,3.66;55;7;3.21;2.86
50,4,3.62,3.59;55;8;3.26;2.43
50,5,3.82,1.46;55;9;0.33;1.69
50,11,3.00,1.79;55;10;4.69;2.65
50,27,1.37,2.11;55;15;4.19;2.78
50,15,3.38,0.74;55;12;2.57;2.74
50,6,0.68,0.83;56;1;3.82;2.55
50,39,4.78,0.53;56;2;5.26;3.02
50,41,3.25,3.93;56;3;4.19;4.23
50,42,3.60,2.21;56;4;5.25;2.18
50,43,0.47,2.35;56;7;3.20;2.86
;56;8;3.26;2.43
;56;9;0.33;1.69
;56;10;4.69;2.65
;56;15;4.19;2.78
;56;12;2.57;2.74
;56;30;0.24;1.61
;57;1;3.82;2.55
;57;2;5.26;3.02
;57;3;4.19;4.23
;57;4;5.25;2.18
;57;7;3.20;2.86
;57;8;3.26;2.43
;57;9;0.33;1.69
;57;10;4.69;2.65
;57;15;4.19;2.78
;57;12;2.58;2.74
;57;30;0.24;1.61
;58;1;3.82;2.55
;58;2;5.26;3.02
;58;3;4.19;4.23
;58;4;5.25;2.18
;58;7;3.21;2.87
;58;8;3.26;2.44
;58;9;0.33;1.69
;58;10;4.69;2.64
;58;15;4.19;2.78
;58;30;0.24;1.62
;59;1;3.82;2.55
;59;2;5.26;3.02
;59;3;4.19;4.23
;59;4;5.25;2.18
;59;7;3.21;2.87
;59;8;3.26;2.44
;59;9;0.33;1.69
;59;10;4.69;2.64
;59;15;4.19;2.78
;59;30;0.24;1.62
;60;1;3.82;2.55
;60;2;5.25;3.02
;60;3;4.19;4.23
;60;4;5.25;2.18
;60;7;3.22;2.87
;60;8;3.26;2.43
;60;9;0.33;1.69
;60;10;4.70;2.63
;60;15;4.19;2.78
;60;30;0.24;1.62
;60;31;1.28;2.92
;61;1;3.82;2.55
;61;2;5.25;3.02
;61;3;4.19;4.23
;61;4;5.24;2.18
;61;7;3.22;2.87
;61;8;3.26;2.43
;61;9;0.33;1.69
;61;10;4.70;2.62
;61;15;4.19;2.78
;61;30;0.24;1.62
;61;31;1.30;2.91
;62;1;3.82;2.55
;62;2;5.25;3.02
;62;3;4.19;4.23
;62;4;5.24;2.18
;62;7;3.21;2.87
;62;8;3.26;2.43
;62;9;0.32;1.69
;62;10;4.70;2.62
;62;15;4.19;2.78
;62;30;0.24;1.62
;62;31;1.30;2.91
;63;1;3.82;2.55
;63;2;5.25;3.02
;63;3;4.19;4.23
;63;4;5.24;2.18
;63;7;3.21;2.87
;63;8;3.25;2.43
;63;9;0.32;1.69
;63;10;4.69;2.62
;63;15;4.19;2.79
;63;30;0.23;1.62
;64;1;3.82;2.55
;64;2;5.25;3.01
;64;3;4.19;4.23
;64;4;5.24;2.18
;64;7;3.21;2.87
;64;8;3.25;2.43
;64;9;0.32;1.70
;64;15;4.19;2.79
;64;30;0.23;1.62
;64;31;1.33;2.91
;65;1;3.82;2.55
;65;2;5.25;3.01
;65;3;4.19;4.23
;65;4;5.24;2.18
;65;7;3.21;2.87
;65;8;3.26;2.43
;65;9;0.32;1.70
;65;15;4.19;2.79
;65;31;1.35;2.93
;66;1;3.82;2.55
;66;2;5.25;3.01
;66;3;4.19;4.23
;66;4;5.24;2.18
;66;7;3.21;2.87
;66;8;3.26;2.43
;66;9;0.32;1.70
;66;15;4.18;2.79
;66;31;1.36;2.95
;67;1;3.82;2.55
;67;2;5.25;3.01
;67;3;4.19;4.21
;67;4;5.24;2.18
;67;7;3.20;2.87
;67;8;3.26;2.42
;67;9;0.33;1.70
;67;15;4.19;2.79
;67;31;1.38;3.02
;67;10;4.69;2.60
;68;1;3.82;2.55
;68;2;5.25;3.01
;68;3;4.19;4.21
;68;4;5.23;2.18
;68;7;3.20;2.87
;68;8;3.26;2.42
;68;15;4.19;2.79
;68;31;1.38;3.04
;68;10;4.69;2.60
;69;1;3.82;2.55
;69;2;5.25;3.01
;69;3;4.19;4.21
;69;4;5.23;2.18
;69;7;3.20;2.87
;69;8;3.26;2.42
;69;15;4.19;2.79
;69;10;4.69;2.60
;70;1;3.82;2.55
;70;2;5.25;3.01
;70;3;4.19;4.21
;70;4;5.23;2.18
;70;7;3.20;2.88
;70;8;3.26;2.42
;70;15;4.19;2.79
;70;10;4.69;2.60
;71;1;3.82;2.55
;71;2;5.25;3.01
;71;3;4.18;4.22
;71;4;5.24;2.17
;71;7;3.20;2.87
;71;8;3.25;2.42
;71;15;4.19;2.79
;71;10;4.69;2.59
;72;1;3.82;2.55
;72;2;5.25;3.02
;72;3;4.19;4.23
;72;4;5.24;2.18
;72;7;3.20;2.87
;72;8;3.25;2.42
;72;15;4.19;2.79
;72;10;4.68;2.59
;73;1;3.82;2.55
;73;2;5.25;3.02
;73;3;4.19;4.23
;73;4;5.24;2.18
;73;7;3.20;2.87
;73;8;3.26;2.42
;73;15;4.19;2.79
;73;10;4.68;2.59
;74;1;3.82;2.56
;74;2;5.25;3.02
;74;3;4.19;4.23
;74;4;5.24;2.18
;74;7;3.20;2.87
;74;8;3.26;2.42
;74;15;4.19;2.79
;74;10;4.68;2.59
;75;1;3.82;2.55
;75;2;5.25;3.02
;75;3;4.18;4.23
;75;4;5.24;2.17
;75;7;3.20;2.87
;75;8;3.26;2.42
;75;15;4.19;2.79
;75;10;4.68;2.59
;76;1;3.82;2.56
;76;2;5.25;3.02
;76;3;4.18;4.23
;76;4;5.24;2.17
;76;7;3.20;2.87
;76;8;3.26;2.42
;76;15;4.19;2.79
;77;1;3.82;2.56
;77;2;5.25;3.02
;77;3;4.22;4.23
;77;4;5.24;2.17
;77;7;3.20;2.87
;77;8;3.26;2.42
;77;15;4.19;2.79
;78;1;3.82;2.56
;78;2;5.25;3.01
;78;3;4.24;4.23
;78;4;5.24;2.17
;78;7;3.20;2.87
;78;8;3.26;2.42
;78;15;4.19;2.79
;78;10;4.68;2.58
;78;31;1.62;3.27
;79;1;3.82;2.56
;79;2;5.25;3.01
;79;3;4.25;4.24
;79;4;5.24;2.17
;79;7;3.21;2.87
;79;8;3.26;2.42
;79;15;4.19;2.79
;79;10;4.68;2.58
;79;31;1.65;3.28
;80;1;3.82;2.56
;80;2;5.25;3.01
;80;3;4.26;4.24
;80;4;5.24;2.17
;80;7;3.21;2.87
;80;8;3.26;2.42
;80;15;4.19;2.79
;80;10;4.68;2.58
;80;31;1.65;3.29
;81;1;3.82;2.56
;81;2;5.25;3.02
;81;3;4.26;4.23
;81;4;5.24;2.17
;81;7;3.21;2.87
;81;8;3.26;2.42
;81;15;4.18;2.79
;81;10;4.67;2.58
;82;1;3.82;2.56
;82;2;5.25;3.02
;82;3;4.26;4.22
;82;4;5.24;2.17
;82;7;3.21;2.87
;82;8;3.26;2.42
;82;10;4.68;2.57
;82;31;1.67;3.31
;83;1;3.82;2.56
;83;2;5.25;3.02
;83;3;4.25;4.22
;83;4;5.24;2.16
;83;7;3.21;2.87
;83;15;4.18;2.79
;83;10;4.68;2.57
;83;31;1.69;3.32
;84;1;3.82;2.56
;84;2;5.25;3.02
;84;3;4.21;4.22
;84;4;5.24;2.17
;84;7;3.21;2.87
;84;8;3.25;2.43
;84;15;4.18;2.79
;84;10;4.68;2.57
;84;31;1.70;3.34
;85;1;3.82;2.56
;85;2;5.25;3.02
;85;3;4.19;4.22
;85;4;5.24;2.17
;85;7;3.21;2.87
;85;8;3.25;2.42
;85;15;4.18;2.79
;85;10;4.68;2.57
;85;31;1.68;3.37
;86;1;3.82;2.56
;86;2;5.25;3.02
;86;3;4.18;4.22
;86;4;5.24;2.17
;86;7;3.21;2.87
;86;8;3.26;2.42
;86;15;4.18;2.79
;86;10;4.68;2.57
;86;31;1.68;3.38
;87;1;3.82;2.56
;87;2;5.25;3.02
;87;3;4.18;4.22
;87;4;5.24;2.16
;87;7;3.21;2.87
;87;8;3.26;2.42
;87;15;4.19;2.79
;87;10;4.68;2.57
;87;31;1.70;3.42
;87;41;1.83;4.50
;88;1;3.82;2.56
;88;2;5.25;3.02
;88;3;4.17;4.23
;88;4;5.23;2.17
;88;7;3.21;2.87
;88;8;3.26;2.42
;88;15;4.19;2.79
;88;10;4.68;2.56
;88;31;1.71;3.47
;88;41;1.84;4.50
;89;1;3.82;2.56
;89;2;5.25;3.02
;89;3;4.16;4.22
;89;4;5.23;2.17
;89;7;3.21;2.87
;89;8;3.26;2.42
;89;15;4.19;2.79
;89;31;1.72;3.50
;89;41;1.84;4.50
;90;1;3.82;2.56
;90;2;5.25;3.01
;90;3;4.16;4.24
;90;4;5.24;2.17
;90;7;3.21;2.87
;90;8;3.26;2.42
;90;15;4.19;2.79
;90;31;1.74;3.53
;90;41;1.84;4.50
;91;1;3.82;2.56
;91;2;5.25;3.01
;91;3;4.15;4.24
;91;4;5.24;2.17
;91;8;3.25;2.42
;91;15;4.19;2.79
;91;10;4.69;2.55
;91;31;1.76;3.56
;91;41;1.83;4.49
;91;42;0.95;4.53
;92;1;3.82;2.56
;92;2;5.25;3.01
;92;3;4.14;4.23
;92;4;5.24;2.17
;92;8;3.25;2.42
;92;15;4.19;2.79
;92;10;4.70;2.55
;92;31;1.77;3.57
;92;41;1.83;4.49
;92;42;0.95;4.53
;93;1;3.82;2.56
;93;2;5.25;3.02
;93;3;4.15;4.27
;93;4;5.23;2.17
;93;8;3.26;2.42
;93;15;4.19;2.79
;93;10;4.70;2.54
;93;31;1.78;3.59
;93;41;1.83;4.49
;93;42;0.95;4.54
;94;1;3.82;2.56
;94;2;5.25;3.02
;94;3;4.15;4.28
;94;4;5.23;2.17
;94;8;3.25;2.42
;94;10;4.70;2.54
;94;31;1.81;3.60
;94;41;1.83;4.50
;94;42;0.95;4.55
;95;1;3.82;2.56
;95;2;5.25;3.02
;95;3;4.15;4.26
;95;4;5.24;2.16
;95;8;3.25;2.42
;95;10;4.70;2.54
;95;31;1.84;3.61
;95;41;1.83;4.50
;95;42;0.95;4.53
;95;44;1.56;2.50
;96;1;3.82;2.56
;96;2;5.25;3.02
;96;3;4.14;4.25
;96;4;5.24;2.16
;96;8;3.26;2.42
;96;10;4.70;2.53
;96;31;1.87;3.62
;96;41;1.83;4.50
;96;42;0.95;4.52
;96;44;1.55;2.51
;97;1;3.82;2.56
;97;2;5.25;3.02
;97;3;4.14;4.25
;97;4;5.24;2.16
;97;8;3.26;2.42
;97;10;4.70;2.53
;97;31;1.90;3.64
;97;41;1.82;4.50
;97;42;0.95;4.52
;97;44;1.54;2.51
;98;1;3.82;2.56
;98;2;5.25;3.02
;98;3;4.14;4.25
;98;4;5.24;2.16
;98;8;3.26;2.42
;98;10;4.70;2.53
;98;31;1.90;3.64
;98;41;1.82;4.50
;98;42;0.95;4.52
;98;44;1.53;2.51
;99;1;3.82;2.56
;99;2;5.25;3.02
;99;3;4.14;4.25
;99;4;5.24;2.16
;99;8;3.26;2.42
;99;10;4.70;2.53
;99;31;1.91;3.65
;99;41;1.82;4.50
;99;42;0.95;4.51
;100;1;3.82;2.56
;100;2;5.25;3.02
;100;3;4.14;4.24
;100;4;5.24;2.16
;100;8;3.25;2.42
;100;10;4.70;2.53
;100;31;1.91;3.67
;100;41;1.81;4.50
;100;42;0.94;4.52
;100;44;1.52;2.52
;100;7;3.21;2.87
;101;1;3.82;2.56
;101;2;5.25;3.02
;101;3;4.14;4.24
;101;4;5.24;2.16
;101;8;3.25;2.42
;101;10;4.70;2.52
;101;31;1.91;3.70
;101;41;1.81;4.50
;101;42;0.94;4.53
;101;44;1.50;2.52
;101;7;3.20;2.87
;102;1;3.82;2.56
;102;2;5.25;3.02
;102;3;4.14;4.24
;102;4;5.24;2.16
;102;8;3.25;2.42
;102;10;4.70;2.52
;102;41;1.81;4.50
;102;42;0.94;4.53
;102;7;3.20;2.87
;103;1;3.82;2.56
;103;2;5.25;3.02
;103;3;4.14;4.24
;103;4;5.24;2.16
;103;8;3.25;2.42
;103;10;4.70;2.51
;103;31;1.95;3.78
;103;41;1.81;4.50
;103;42;0.94;4.53
;103;44;1.46;2.53
;103;7;3.20;2.87
;104;1;3.82;2.56
;104;2;5.25;3.02
;104;3;4.14;4.24
;104;4;5.24;2.16
;104;8;3.25;2.42
;104;10;4.70;2.51
;104;31;1.95;3.79
;104;41;1.81;4.50
;104;42;0.94;4.53
;104;44;1.45;2.53
;104;7;3.20;2.87
;105;1;3.82;2.56
;105;2;5.25;3.02
;105;3;4.14;4.24
;105;4;5.24;2.16
;105;8;3.25;2.42
;105;10;4.71;2.51
;105;31;1.97;3.82
;105;41;1.82;4.50
;105;42;0.94;4.54
;105;7;3.20;2.87
;106;1;3.82;2.56
;106;2;5.25;3.02
;106;3;4.14;4.23
;106;4;5.24;2.15
;106;8;3.25;2.42
;106;10;4.71;2.51
;106;31;2.01;3.84
;106;41;1.81;4.50
;106;42;0.94;4.54
;106;7;3.20;2.87
;107;1;3.82;2.56
;107;2;5.25;3.02
;107;3;4.14;4.24
;107;4;5.25;2.15
;107;8;3.25;2.42
;107;10;4.71;2.50
;107;31;2.06;3.86
;107;41;1.81;4.50
;107;42;0.94;4.55
;107;7;3.20;2.87
;108;1;3.82;2.56
;108;2;5.25;3.02
;108;3;4.14;4.24
;108;4;5.25;2.15
;108;8;3.25;2.42
;108;10;4.71;2.50
;108;31;2.11;3.89
;108;41;1.81;4.49
;108;42;0.94;4.55
;108;7;3.20;2.87
;109;1;3.82;2.56
;109;2;5.25;3.02
;109;3;4.14;4.24
;109;4;5.25;2.15
;109;8;3.25;2.42
;109;10;4.71;2.51
;109;31;2.15;3.91
;109;41;1.81;4.50
;109;42;0.94;4.55
;109;7;3.21;2.87
;110;1;3.82;2.56
;110;2;5.25;3.02
;110;3;4.14;4.24
;110;4;5.25;2.15
;110;8;3.25;2.42
;110;10;4.71;2.51
;110;31;2.17;3.92
;110;41;1.80;4.50
;110;42;0.94;4.55
;110;7;3.21;2.87
;111;1;3.82;2.56
;111;2;5.25;3.02
;111;3;4.14;4.24
;111;4;5.25;2.15
;111;8;3.25;2.42
;111;10;4.71;2.51
;111;31;2.19;3.94
;111;41;1.80;4.50
;111;42;0.94;4.55
;111;7;3.21;2.87
;112;1;3.82;2.56
;112;2;5.25;3.02
;112;3;4.14;4.24
;112;4;5.25;2.15
;112;8;3.25;2.42
;112;10;4.71;2.51
;112;31;2.21;3.94
;112;41;1.80;4.51
;112;42;0.94;4.55
;112;7;3.20;2.87
;113;1;3.82;2.56
;113;2;5.25;3.02
;113;3;4.15;4.25
;113;4;5.25;2.15
;113;8;3.25;2.41
;113;10;4.72;2.51
;113;31;2.23;3.95
;113;41;1.80;4.51
;113;42;0.94;4.56
;113;7;3.20;2.87
;114;1;3.82;2.56
;114;2;5.25;3.02
;114;3;4.15;4.26
;114;4;5.26;2.15
;114;8;3.25;2.41
;114;10;4.72;2.51
;114;31;2.24;3.97
;114;41;1.79;4.51
;114;42;0.94;4.56
;114;7;3.20;2.87
;115;1;3.82;2.55
;115;2;5.25;3.02
;115;3;4.15;4.26
;115;4;5.26;2.16
;115;8;3.25;2.41
;115;15;4.19;2.79
;115;10;4.72;2.51
;115;31;2.26;3.99
;115;41;1.79;4.51
;115;42;0.94;4.56
;115;7;3.20;2.87
;116;1;3.82;2.55
;116;2;5.25;3.02
;116;3;4.15;4.26
;116;4;5.18;2.19
;116;8;3.25;2.41
;116;15;4.19;2.78
;116;10;4.72;2.52
;116;31;2.26;3.99
;116;41;1.79;4.50
;116;42;0.94;4.56
;116;7;3.20;2.87
;117;1;3.82;2.55
;117;2;5.25;3.02
;117;3;4.15;4.26
;117;4;5.15;2.20
;117;8;3.25;2.41
;117;10;4.72;2.52
;117;31;2.27;4.02
;117;41;1.78;4.51
;117;42;0.93;4.56
;117;7;3.20;2.87
;118;1;3.82;2.55
;118;2;5.25;3.02
;118;3;4.15;4.27
;118;4;5.14;2.21
;118;8;3.25;2.41
;118;10;4.72;2.52
;118;31;2.28;4.05
;118;41;1.78;4.51
;118;42;0.93;4.56
;118;7;3.20;2.87
;119;1;3.82;2.55
;119;2;5.25;3.02
;119;3;4.15;4.27
;119;4;5.14;2.22
;119;8;3.25;2.41
;119;15;4.19;2.78
;119;10;4.72;2.53
;119;41;1.78;4.52
;119;42;0.94;4.56
;119;7;3.20;2.87
;119;58;5.26;2.17
;120;1;3.82;2.55
;120;2;5.25;3.02
;120;3;4.15;4.27
;120;4;5.15;2.22
;120;8;3.25;2.41
;120;15;4.19;2.78
;120;10;4.72;2.53
;120;41;1.77;4.53
;120;42;0.94;4.55
;120;7;3.20;2.87
;120;58;5.26;2.18
;121;1;3.82;2.55
;121;2;5.25;3.02
;121;3;4.15;4.27
;121;4;5.15;2.22
;121;8;3.25;2.41
;121;15;4.19;2.78
;121;10;4.73;2.53
;121;31;2.33;4.16
;121;41;1.77;4.54
;121;42;0.94;4.55
;121;7;3.20;2.87
;121;58;5.27;2.18
;122;1;3.82;2.55
;122;2;5.25;3.02
;122;3;4.15;4.27
;122;4;5.15;2.22
;122;8;3.25;2.41
;122;15;4.19;2.78
;122;10;4.73;2.53
;122;31;2.34;4.17
;122;41;1.77;4.54
;122;42;0.94;4.55
;122;7;3.20;2.87
;122;58;5.27;2.18
;123;1;3.82;2.55
;123;2;5.25;3.02
;123;3;4.15;4.27
;123;4;5.16;2.23
;123;8;3.25;2.41
;123;15;4.19;2.78
;123;10;4.73;2.53
;123;31;2.36;4.18
;123;41;1.77;4.54
